id,partenza,arrivo,tappa1,distanza1,tappa2,distanza2,tappa3,distanza3,tappa4,distanza4,tappa5,distanza5,distanza_a_destinazione
1569,Ristorante Tuscany 2,Parco San Rossore,Parcheggio Migliarino,16.79,Via Gabriele Vettori 18,13.13,MD Discount Riglione,5.75,OBI Pisa,5.78,Esselunga Cisanello,4.97,4.22
1570,Torre,Ristorante Da Stefano (Tirrenia),Farmacia Cisanello,3.39,Hotel Continental Tirrenia,19.72,MD Discount Riglione,18.54,Esselunga Cisanello,3.72,,,19.9
1571,Stazione Leopolda,McDonald's Pisa Aurelia,Via Cisanello 170,2.45,Via del Borghetto 102,2.06,McDonald's Barbaricina,5.92,Lidl Pisa,4.57,,,2.15
1572,Via Montanelli 66,Centro Commerciale Pisanova,Ristorante Il Rustichello - San Piero,5.77,Euronics Pisa Cisanello,7.14,Conad Pian di Marco,3.58,,,,,3.29
1573,Centro Commerciale Darsena (Tirrenia),Euronics Pisa Cisanello,Ristorante La Greppia,18.49,Ipercoop Pisa,2.19,Parcheggio Migliarino,16.85,OBI Pisa,14.36,McDonald's Barbaricina,4.66,8.07
1574,Conad Metato,Via Montanelli 66,Hotel San Ranieri,8.72,,,,,,,,,1.84
1575,Euronics Pisa Cisanello,Conad Metato,McDonald's Pisa Aurelia,3.42,Parcheggio San Giuliano Terme,10.96,Decathlon Pisa,10.34,Centro Commerciale Darsena (Tirrenia),22.45,Parcheggio di Cisanello,23.71,7.94
1576,McDonald's Pisa Aurelia,Ristorante Galileo,Ristorante Il Lago (Nodica),8.97,Supermercato Coop San Giusto,7.69,Conad La Vettola,5.55,,,,,8.61
1577,Hotel Galilei Pisa,Via Angelo Battelli 5,,,,,,,,,,,4.23
1578,Hotel Galilei Pisa,Centro Commerciale Darsena (Tirrenia),Piscina Comunale Camalich,1.29,Via del Borghetto 102,6.3,Pizzeria Colignola,3.38,Ristorante Il Lago (Nodica),8.12,Parcheggio di Cisanello,6.03,23.61
1579,Decathlon Pisa,Eurospin Ospedaletto,Torre,3.6,Via del Borghetto 102,1.28,Conad La Vettola,7.83,,,,,5.91
1580,Parcheggio Porto di Marina,Via Gabriele Vettori 18,Pizzeria Colignola,19.39,Via del Borghetto 102,4.05,Via Aretino Spinello 11,1.12,,,,,0.57
1581,Euronics Pisa Cisanello,Ristorante Pizzeria Il Pellicano,,,,,,,,,,,1.64
1582,Esselunga Cisanello,Decathlon Pisa,Hotel San Ranieri,0.72,Piscina Comunale Camalich,7.58,,,,,,,4.56
1583,Ristorante Il Lago (Nodica),Stazione Leopolda,Conad Pian di Marco,9.58,Polo Fibonacci,3.97,Euronics Pisa Cisanello,2.24,Ristorante La Greppia,1.98,Facolta di Ingegneria Polo A,2.7,1.56
1584,Via Aretino Spinello 11,Supermercato Coop San Giusto,Ristorante Il Rustichello - San Piero,5.46,Ristorante La Greppia,4.55,,,,,,,0.96
1585,MediaWorld Pisa,Euronics Pisa Cisanello,OBI Pisa,4.12,,,,,,,,,4.52
1586,Ristorante Pizzeria Il Pellicano,Ristorante Il Mio Capriccio,Ristorante Il Rustichello - San Piero,5.78,Supermercato Coop San Giusto,3.82,McDonald's Barbaricina,5.16,,,,,6.36
1587,Carrefour Express Pisanova,McDonald's Barbaricina,Hotel Continental Tirrenia,18.61,Hotel Galilei Pisa,12.97,Centro Commerciale Darsena (Tirrenia),16.44,,,,,17.71
1588,Centro Commerciale Pisanova,Piscina Comunale Camalich,Parco San Rossore,3.7,Parcheggio di Cisanello,4.3,Via Montanelli 66,1.47,,,,,5.36
1589,Ristorante La Greppia,Lidl Pisa,Supermercato Coop Ghezzano,7.18,Carrefour Express Pisanova,5.57,,,,,,,2.64
1590,Parcheggio di Cisanello,Supermercato Coop Ghezzano,Esselunga Cisanello,0.52,McDonald's Pisa Aurelia,4,,,,,,,9.3
1591,Pizzeria Colignola,McDonald's Barbaricina,Stazione Pisa Centrale,4.21,,,,,,,,,5.66
1592,Ristorante Il Lago (Nodica),Ipercoop Pisa,Ristorante Tuscany 2,7.34,Hotel San Ranieri,0.85,Pizzeria Pisanova,1.38,Hotel Galilei Pisa,4.87,,,3.99
1593,Conad Pian di Marco,Ristorante Da Stefano (Tirrenia),Via Gabriele Vettori 18,3.22,,,,,,,,,21.72
1594,Via San Ranieri 9,Parcheggio di Cisanello,,,,,,,,,,,0.39
1595,Ipercoop Pisa,Ristorante Il Lago (Nodica),Via San Ranieri 9,2.19,Parcheggio Porto di Marina,16.51,Ristorante Il Rustichello - San Piero,10.3,Via Montanelli 66,5.96,Farmacia Cisanello,1.89,6.95
1596,Parcheggio Via Paparelli,Carrefour Express Pisanova,MD Discount Riglione,7.51,Eurospin Ospedaletto,7.39,,,,,,,6.44
1597,Universita di Pisa,Euronics Pisa Cisanello,,,,,,,,,,,2.14
1598,Universita di Pisa,Facolta di Ingegneria Polo A,Ristorante Galileo,1.67,,,,,,,,,1.83
1599,McDonald's Pisa Aurelia,Centro Commerciale Pisanova,Via Gabriele Vettori 18,3.52,,,,,,,,,1.81
1600,Ristorante La Greppia,Ipercoop Pisa,,,,,,,,,,,2.19
1601,Ristorante La Greppia,Via Cisanello 170,Polo Fibonacci,3.08,,,,,,,,,1.64
1602,Parcheggio di Cisanello,Via Aretino Spinello 11,Lidl Pisa,3.31,Via Montanelli 66,1.85,Pizzeria Colignola,3.36,Ristorante Da Stefano (Tirrenia),21.04,Ristorante Galileo,20.92,2.36
1603,Via del Borghetto 102,MD Discount Riglione,Ristorante Tuscany 2,2.63,,,,,,,,,4
1604,Stazione Leopolda,MediaWorld Pisa,Euronics Pisa Cisanello,2.48,,,,,,,,,0.38
1605,Parcheggio Migliarino,MD Discount Riglione,Ristorante Il Rustichello - San Piero,15.16,Stazione Pisa Centrale,5.36,,,,,,,5.57
1606,Pizzeria Pisanova,Stazione San Rossore,Stazione Pisa Centrale,1.98,Centro Commerciale Darsena (Tirrenia),18.16,Hotel San Ranieri,24.67,Ristorante Il Lago (Nodica),5.87,Via del Borghetto 102,5.88,2.76
1607,Universita di Pisa,Via San Ranieri 9,Pizzeria Colignola,3.28,Centro Commerciale Darsena (Tirrenia),23.23,Ristorante Tuscany 2,23.6,Pizzeria Pisanova,0.92,,,1.24
1608,Parcheggio San Giuliano Terme,Farmacia Cisanello,McDonald's Barbaricina,10.21,Via Gabriele Vettori 18,5.52,Ristorante Galileo,1.94,,,,,0.85
1609,Ristorante Tuscany 2,Universita di Pisa,Centro Commerciale Pisanova,0.79,Parcheggio Porto di Marina,17.98,Parco San Rossore,13.22,,,,,2.83
1610,Hotel Continental Tirrenia,MD Discount Riglione,,,,,,,,,,,20.05
1611,Parcheggio Porto di Marina,Ristorante Il Lago (Nodica),Lidl Pisa,15.5,Centro Commerciale Darsena (Tirrenia),18.39,Stazione San Rossore,19.79,Supermercato Coop Ghezzano,7.85,Via Montanelli 66,5.98,6.91
1612,Polo Fibonacci,Pizzeria Pisanova,Ristorante Il Mio Capriccio,2.27,Parco San Rossore,2.84,McDonald's Barbaricina,4.34,Ristorante Galileo,7.23,Parcheggio Porto di Marina,16.86,16.15
1613,Ristorante Il Mio Capriccio,Euronics Pisa Cisanello,Conad La Vettola,7.07,Ristorante Il Lago (Nodica),10.84,,,,,,,7.61
1614,Parcheggio Migliarino,Conad Pian di Marco,OBI Pisa,14.8,,,,,,,,,0.64
1615,Parcheggio San Giuliano Terme,Stazione Leopolda,,,,,,,,,,,9.09
1616,Piscina Comunale Camalich,Via Gabriele Vettori 18,Polo Fibonacci,6.07,Parcheggio di Cisanello,1.76,McDonald's Pisa Aurelia,4.07,,,,,3.42
1617,Hotel Continental Tirrenia,Via Montanelli 66,Pizzeria Pisanova,20.48,Ipercoop Pisa,0.99,Decathlon Pisa,0.57,Ristorante Pizzeria Il Pellicano,0.93,,,1.57
1618,McDonald's Pisa Aurelia,Via Montanelli 66,Pizzeria Colignola,5.44,,,,,,,,,2.97
1619,Piscina Comunale Camalich,Euronics Pisa Cisanello,,,,,,,,,,,5.09
1620,Via Angelo Battelli 5,Ristorante Pizzeria Il Pellicano,Ristorante Il Lago (Nodica),5.91,Pizzeria Colignola,7.94,Torre,4.68,Farmacia Cisanello,3.78,Conad Metato,8.11,9.71
1621,Euronics Pisa Cisanello,Supermercato Coop San Giusto,Hotel San Ranieri,1.61,Via Gabriele Vettori 18,2.32,MediaWorld Pisa,1.96,Via del Borghetto 102,2.15,,,3.31
1622,Supermercato Coop Ghezzano,Stazione Pisa Centrale,Parco San Rossore,7.18,Via Cisanello 170,3.71,Stazione San Rossore,3.86,Conad La Vettola,5.34,,,6.02
1623,Pizzeria Colignola,Facolta di Ingegneria Polo A,Centro Commerciale Pisanova,2.2,Euronics Pisa Cisanello,0.48,Ristorante Da Stefano (Tirrenia),21.55,Polo Fibonacci,19.23,,,0.3
1624,Parco San Rossore,Lidl Pisa,McDonald's Barbaricina,4.11,,,,,,,,,4.03
1625,Via Montanelli 66,Conad Metato,Lidl Pisa,1.85,,,,,,,,,8.97
1626,Supermercato Coop San Giusto,McDonald's Pisa Aurelia,Ristorante Il Lago (Nodica),8.12,Parcheggio di Cisanello,6.27,MediaWorld Pisa,1.29,Centro Commerciale Darsena (Tirrenia),21.48,Polo Fibonacci,22.91,3.71
1627,Eurospin Ospedaletto,McDonald's Barbaricina,Carrefour Express Pisanova,7.27,Via Angelo Battelli 5,1.54,,,,,,,5.31
1628,Esselunga Cisanello,Conad Pian di Marco,Ristorante Da Stefano (Tirrenia),21.73,Hotel Galilei Pisa,14.64,Facolta di Ingegneria Polo A,5.53,Universita di Pisa,0.3,,,4.11
1629,Via del Borghetto 102,MediaWorld Pisa,Polo Fibonacci,0.24,Torre,1.44,Ristorante Il Mio Capriccio,3.13,Conad Pian di Marco,2.96,Ipercoop Pisa,3.64,0.59
1630,Stazione Pisa Centrale,Centro Commerciale Darsena (Tirrenia),Pizzeria Pisanova,2.01,MD Discount Riglione,3.83,,,,,,,21.71
1631,Piscina Comunale Camalich,Via San Ranieri 9,MD Discount Riglione,5.45,,,,,,,,,5.1
1632,Ristorante Tuscany 2,Eurospin Ospedaletto,Parcheggio Migliarino,16.5,Pizzeria Colignola,16.91,Parcheggio Via Paparelli,3.97,Carrefour Express Pisanova,2.96,,,7.05
1633,Parcheggio Migliarino,Parcheggio di Cisanello,Parcheggio Porto di Marina,22.47,Ristorante Pizzeria Il Pellicano,16.03,Ipercoop Pisa,1.5,,,,,1.64
1634,Ristorante Da Stefano (Tirrenia),Via Gabriele Vettori 18,Parcheggio Via Paparelli,22.8,Conad La Vettola,8.51,McDonald's Pisa Aurelia,5.74,Pizzeria Pisanova,3.58,,,1.65
1635,McDonald's Pisa Aurelia,Via San Ranieri 9,Farmacia Cisanello,4.33,Via Gabriele Vettori 18,2.38,OBI Pisa,4.33,Ristorante Il Lago (Nodica),9.61,Universita di Pisa,5.95,1.22
1636,Ristorante Galileo,Hotel Galilei Pisa,MediaWorld Pisa,0.7,Eurospin Ospedaletto,6.5,Ristorante Il Rustichello - San Piero,2.73,Stazione Pisa Centrale,4.44,,,3.27
1637,Ristorante Il Mio Capriccio,Ristorante Galileo,OBI Pisa,3.69,Ristorante Pizzeria Il Pellicano,2.81,Eurospin Ospedaletto,5.72,Ristorante Tuscany 2,6.98,,,0.52
1638,Torre,Polo Fibonacci,Hotel Continental Tirrenia,18.07,Ristorante Il Lago (Nodica),21.84,Piscina Comunale Camalich,11.72,Ristorante Da Stefano (Tirrenia),15.28,Decathlon Pisa,17.56,2.34
1639,Hotel Continental Tirrenia,Parcheggio San Giuliano Terme,Piscina Comunale Camalich,14.63,Centro Commerciale Pisanova,6.25,Supermercato Coop Ghezzano,5.87,,,,,3.21
1640,Ristorante Il Mio Capriccio,Ristorante Galileo,Parcheggio Porto di Marina,16.62,Parcheggio Migliarino,22.73,Via del Borghetto 102,13.81,Via Angelo Battelli 5,0.76,Facolta di Ingegneria Polo A,0.56,1.84
1641,Euronics Pisa Cisanello,Ipercoop Pisa,Parco San Rossore,3.8,Centro Commerciale Pisanova,3.17,Esselunga Cisanello,0.96,Supermercato Coop San Giusto,3.68,Centro Commerciale Darsena (Tirrenia),18.09,20.37
1642,Parco San Rossore,Facolta di Ingegneria Polo A,Decathlon Pisa,2.88,Parcheggio San Giuliano Terme,10.17,Farmacia Cisanello,8.22,Stazione Pisa Centrale,3.29,Supermercato Coop Ghezzano,7.52,4.9
1643,Parcheggio Via Paparelli,Ristorante Galileo,Via Cisanello 170,2.45,,,,,,,,,0.49
1644,Ristorante Da Stefano (Tirrenia),OBI Pisa,Ristorante Il Lago (Nodica),22.44,Centro Commerciale Darsena (Tirrenia),23.98,,,,,,,17.2
1645,Pizzeria Pisanova,Stazione Pisa Centrale,Centro Commerciale Darsena (Tirrenia),22.14,Ristorante Il Lago (Nodica),28.12,Esselunga Cisanello,6.79,,,,,3.25
1646,Ristorante Il Lago (Nodica),Eurospin Ospedaletto,Hotel San Ranieri,6.04,Supermercato Coop Ghezzano,4.64,,,,,,,12.57
1647,MD Discount Riglione,Via Gabriele Vettori 18,Piscina Comunale Camalich,5.56,Supermercato Coop Ghezzano,10.88,Conad Pian di Marco,8.99,,,,,3.17
1648,Stazione Leopolda,Via del Borghetto 102,Via San Ranieri 9,2.39,Centro Commerciale Pisanova,1.23,Eurospin Ospedaletto,6.23,Parcheggio di Cisanello,7.07,,,2.13
1649,McDonald's Barbaricina,Parco San Rossore,Ristorante Pizzeria Il Pellicano,6.11,,,,,,,,,2
1650,Parcheggio Migliarino,Stazione Leopolda,,,,,,,,,,,15.06
1651,Eurospin Ospedaletto,Supermercato Coop Ghezzano,,,,,,,,,,,12.08
1652,Via San Ranieri 9,Centro Commerciale Pisanova,Eurospin Ospedaletto,7.4,Centro Commerciale Darsena (Tirrenia),14.89,MediaWorld Pisa,18.86,,,,,0.44
1653,Parco San Rossore,Parcheggio Via Paparelli,Via Angelo Battelli 5,2.11,Via San Ranieri 9,2.04,,,,,,,1.93
1654,Esselunga Cisanello,Lidl Pisa,Parcheggio di Cisanello,0.53,Ristorante Pizzeria Il Pellicano,2.71,Ristorante Da Stefano (Tirrenia),17.86,,,,,19.08
1655,Ristorante Il Rustichello - San Piero,Parcheggio San Giuliano Terme,Lidl Pisa,4.56,,,,,,,,,10.65
1656,Via Gabriele Vettori 18,Ristorante Da Stefano (Tirrenia),MediaWorld Pisa,2.1,,,,,,,,,20.23
1657,Eurospin Ospedaletto,Ristorante Il Rustichello - San Piero,Supermercato Coop Ghezzano,13.07,Conad Metato,3.36,Centro Commerciale Pisanova,9.8,Stazione Pisa Centrale,1.92,Piscina Comunale Camalich,4.72,3.31
1658,Universita di Pisa,Hotel Galilei Pisa,OBI Pisa,4.85,Lidl Pisa,2.29,,,,,,,4
1659,Centro Commerciale Pisanova,Stazione Pisa Centrale,Centro Commerciale Darsena (Tirrenia),20.86,,,,,,,,,18.03
1660,Ristorante Il Lago (Nodica),Parco San Rossore,Parcheggio San Giuliano Terme,2.79,Conad Pian di Marco,11.45,,,,,,,1.39
1661,Carrefour Express Pisanova,Parcheggio Via Paparelli,,,,,,,,,,,3.32
1662,Ristorante Galileo,Parcheggio di Cisanello,,,,,,,,,,,0.64
1663,Lidl Pisa,Supermercato Coop Ghezzano,Centro Commerciale Pisanova,3.15,,,,,,,,,5.96
1664,Parcheggio Migliarino,Ristorante Il Rustichello - San Piero,Esselunga Cisanello,14.98,Via Montanelli 66,1.72,,,,,,,5.89
1665,Via San Ranieri 9,MD Discount Riglione,Piscina Comunale Camalich,6.86,Via Angelo Battelli 5,6.04,Farmacia Cisanello,2.33,Centro Commerciale Pisanova,1.13,Hotel San Ranieri,1.41,4.48
1666,Ristorante Da Stefano (Tirrenia),Conad La Vettola,Ristorante Il Rustichello - San Piero,14.95,Via Montanelli 66,5.96,Torre,1.95,,,,,6.75
1667,Parcheggio Migliarino,Parco San Rossore,Conad La Vettola,13.84,Centro Commerciale Darsena (Tirrenia),16.64,Esselunga Cisanello,24.25,,,,,4.07
1668,Conad La Vettola,Via Angelo Battelli 5,Ristorante Il Lago (Nodica),9.44,,,,,,,,,6.18
1669,Ristorante Tuscany 2,Via Angelo Battelli 5,Piscina Comunale Camalich,6.92,Parco San Rossore,4.06,,,,,,,2.39
1670,Hotel Galilei Pisa,Ristorante Il Mio Capriccio,,,,,,,,,,,3.78
1671,Eurospin Ospedaletto,Conad La Vettola,OBI Pisa,2.75,,,,,,,,,4.42
1672,Via Gabriele Vettori 18,Parcheggio Via Paparelli,McDonald's Pisa Aurelia,3.3,Piscina Comunale Camalich,2.96,Carrefour Express Pisanova,6.14,,,,,3.41
1673,Parcheggio Porto di Marina,Ristorante Da Stefano (Tirrenia),,,,,,,,,,,4.68
1674,MD Discount Riglione,Ristorante Galileo,Parcheggio Porto di Marina,17.01,,,,,,,,,17.63
1675,Ristorante Galileo,Pizzeria Colignola,,,,,,,,,,,1.68
1676,Parcheggio San Giuliano Terme,Parco San Rossore,Via del Borghetto 102,7.07,Via Angelo Battelli 5,0.82,,,,,,,2.3
1677,Conad La Vettola,Via San Ranieri 9,Parcheggio Porto di Marina,10.69,Stazione Pisa Centrale,15.64,McDonald's Pisa Aurelia,1.72,Pizzeria Pisanova,3.46,Stazione San Rossore,3.31,3.46
1678,Ristorante Il Mio Capriccio,MD Discount Riglione,Ipercoop Pisa,0.84,OBI Pisa,4.25,Torre,4.72,Facolta di Ingegneria Polo A,1.45,,,5.64
1679,Polo Fibonacci,Conad Pian di Marco,Via Angelo Battelli 5,0.9,Conad La Vettola,6.57,Facolta di Ingegneria Polo A,6.96,Supermercato Coop Ghezzano,5.11,,,8.54
1680,Ristorante Il Rustichello - San Piero,Torre,Parcheggio Via Paparelli,9.16,Hotel Galilei Pisa,7.38,OBI Pisa,1.42,,,,,4.67
1681,Parcheggio Via Paparelli,Decathlon Pisa,,,,,,,,,,,3.89
1682,Via Montanelli 66,Via Aretino Spinello 11,Ipercoop Pisa,2.05,Farmacia Cisanello,1.85,,,,,,,2.85
1683,Via San Ranieri 9,Eurospin Ospedaletto,Ristorante Tuscany 2,1.17,Via Gabriele Vettori 18,2.46,,,,,,,6.52
1684,Conad La Vettola,Parcheggio Migliarino,Esselunga Cisanello,9.27,Via del Borghetto 102,2.56,Centro Commerciale Darsena (Tirrenia),20.9,Hotel San Ranieri,23.6,Ristorante Pizzeria Il Pellicano,3.13,16.08
1685,Torre,Via Gabriele Vettori 18,Via Aretino Spinello 11,1.57,Euronics Pisa Cisanello,2.49,Hotel San Ranieri,1.75,Parcheggio San Giuliano Terme,8.28,Ipercoop Pisa,9.87,2.49
1686,Ristorante La Greppia,Ristorante Il Lago (Nodica),Conad Metato,11.79,Stazione Leopolda,9.94,,,,,,,7.58
1687,Stazione San Rossore,Esselunga Cisanello,Conad Pian di Marco,1.62,Via Angelo Battelli 5,3.44,,,,,,,2.44
1688,Via Montanelli 66,Decathlon Pisa,,,,,,,,,,,1.24
1689,Ristorante Galileo,Esselunga Cisanello,Parcheggio Via Paparelli,2.88,Ristorante Il Mio Capriccio,3.71,,,,,,,1.94
1690,Parcheggio di Cisanello,OBI Pisa,,,,,,,,,,,5.68
1691,Eurospin Ospedaletto,Conad Pian di Marco,Pizzeria Pisanova,7.17,Ristorante Il Lago (Nodica),7.2,Parcheggio Porto di Marina,19.11,,,,,13.87
1692,Stazione Leopolda,Ristorante Il Mio Capriccio,Stazione Pisa Centrale,0.66,Hotel Galilei Pisa,3.01,Via Aretino Spinello 11,4.59,MD Discount Riglione,5.72,Centro Commerciale Pisanova,4.36,0.98
1693,Via del Borghetto 102,Parcheggio Via Paparelli,Parco San Rossore,2.81,Hotel Galilei Pisa,3.33,Stazione Pisa Centrale,3.04,,,,,3.77
1694,Piscina Comunale Camalich,Ristorante Da Stefano (Tirrenia),Hotel Galilei Pisa,1.28,Farmacia Cisanello,5.58,Parcheggio San Giuliano Terme,8.74,Via San Ranieri 9,8.7,Parcheggio di Cisanello,0.37,21.09
1695,Via Cisanello 170,Ristorante La Greppia,,,,,,,,,,,2.96
1696,Ristorante Pizzeria Il Pellicano,Via Angelo Battelli 5,Supermercato Coop Ghezzano,6.65,,,,,,,,,5.97
1697,Universita di Pisa,Stazione San Rossore,McDonald's Pisa Aurelia,3.82,,,,,,,,,1.53
1698,Universita di Pisa,Parcheggio San Giuliano Terme,Ristorante Il Rustichello - San Piero,6.41,Hotel Continental Tirrenia,12.26,,,,,,,25.87
1699,Ristorante Da Stefano (Tirrenia),Stazione Pisa Centrale,,,,,,,,,,,16.56
1700,Euronics Pisa Cisanello,Hotel Galilei Pisa,,,,,,,,,,,4.27
1701,Via Gabriele Vettori 18,Via San Ranieri 9,,,,,,,,,,,1.74
1702,Eurospin Ospedaletto,McDonald's Barbaricina,Torre,6.99,Ristorante Il Mio Capriccio,3.32,,,,,,,7.13
1703,Hotel San Ranieri,Centro Commerciale Pisanova,Stazione San Rossore,4.25,,,,,,,,,3.2
1704,Piscina Comunale Camalich,Hotel Galilei Pisa,Torre,7.13,,,,,,,,,5.17
1705,Centro Commerciale Pisanova,Supermercato Coop Ghezzano,Ristorante Il Mio Capriccio,1.01,Lidl Pisa,2.45,Hotel Continental Tirrenia,16.69,Ristorante Pizzeria Il Pellicano,18.56,Ristorante Tuscany 2,2.57,6
1706,Via Cisanello 170,Centro Commerciale Darsena (Tirrenia),,,,,,,,,,,21.11
1707,Via Gabriele Vettori 18,Torre,Farmacia Cisanello,2.15,Hotel Continental Tirrenia,19.22,,,,,,,20.51
1708,Stazione Leopolda,Ristorante Da Stefano (Tirrenia),MD Discount Riglione,5.32,,,,,,,,,18.87
1709,Supermercato Coop Ghezzano,Carrefour Express Pisanova,Parcheggio San Giuliano Terme,3.17,,,,,,,,,8.85
1710,Ipercoop Pisa,Torre,Ristorante Il Lago (Nodica),7.87,,,,,,,,,5.05
1711,McDonald's Pisa Aurelia,Decathlon Pisa,Via Cisanello 170,4.16,Piscina Comunale Camalich,6.89,Stazione Leopolda,4.61,,,,,1.84
1712,MediaWorld Pisa,Centro Commerciale Darsena (Tirrenia),Pizzeria Pisanova,0.54,Decathlon Pisa,0.78,Piscina Comunale Camalich,5.01,Via Angelo Battelli 5,5.57,,,20.27
1713,Piscina Comunale Camalich,Ristorante Il Mio Capriccio,Centro Commerciale Darsena (Tirrenia),15.55,Farmacia Cisanello,22.22,Lidl Pisa,3.47,Parcheggio Migliarino,14.8,,,16.21
1714,Parco San Rossore,Ristorante Tuscany 2,Supermercato Coop San Giusto,1.01,,,,,,,,,3.53
1715,Via del Borghetto 102,Pizzeria Pisanova,Ipercoop Pisa,2.79,Ristorante Pizzeria Il Pellicano,1.58,Conad La Vettola,7.19,Eurospin Ospedaletto,5.61,Hotel Continental Tirrenia,12.85,20.09
1716,Supermercato Coop San Giusto,MD Discount Riglione,Stazione Leopolda,1.34,,,,,,,,,5.91
1717,Via Aretino Spinello 11,Conad Pian di Marco,,,,,,,,,,,2.56
1718,Polo Fibonacci,Pizzeria Pisanova,Torre,1.58,Euronics Pisa Cisanello,3.42,,,,,,,0.67
1719,MediaWorld Pisa,Parcheggio San Giuliano Terme,Parcheggio Via Paparelli,3.63,Parcheggio Porto di Marina,19.15,MD Discount Riglione,16.05,,,,,12.38
1720,Ristorante Il Lago (Nodica),Via Aretino Spinello 11,Parcheggio Porto di Marina,21.33,,,,,,,,,16
1721,Via Gabriele Vettori 18,Via del Borghetto 102,Parcheggio Migliarino,14,Centro Commerciale Darsena (Tirrenia),27.41,Lidl Pisa,17.84,Via San Ranieri 9,3.56,,,1.79
1722,Ipercoop Pisa,OBI Pisa,,,,,,,,,,,3.93
1723,Hotel Continental Tirrenia,Hotel Galilei Pisa,Torre,18.1,Ristorante Tuscany 2,3.71,Parcheggio San Giuliano Terme,9.54,,,,,13.51
1724,Ristorante Tuscany 2,MD Discount Riglione,Parcheggio Via Paparelli,3.18,Polo Fibonacci,1.95,Stazione Leopolda,1.89,Conad La Vettola,6.05,Esselunga Cisanello,8.27,3.83
1725,Parco San Rossore,Via del Borghetto 102,Farmacia Cisanello,4.29,,,,,,,,,2.22
1726,Ristorante Pizzeria Il Pellicano,Via Montanelli 66,Supermercato Coop San Giusto,1.53,Polo Fibonacci,3.11,Farmacia Cisanello,2.1,Ristorante Il Lago (Nodica),6.21,,,6.78
1727,Via Montanelli 66,Stazione Pisa Centrale,Via Aretino Spinello 11,0.97,Ristorante Il Rustichello - San Piero,5.22,Conad La Vettola,2.57,,,,,6.21
1728,Farmacia Cisanello,Ristorante La Greppia,Ristorante Da Stefano (Tirrenia),22.02,Hotel Galilei Pisa,14.91,McDonald's Pisa Aurelia,1.47,Polo Fibonacci,3.86,Pizzeria Colignola,3.15,4.19
1729,Ristorante Il Mio Capriccio,Piscina Comunale Camalich,Ristorante Da Stefano (Tirrenia),19.79,Carrefour Express Pisanova,21.66,,,,,,,6.05
1730,Piscina Comunale Camalich,Farmacia Cisanello,OBI Pisa,2.46,Centro Commerciale Darsena (Tirrenia),16.27,Ristorante Il Rustichello - San Piero,14.54,,,,,8.28
1731,Via Gabriele Vettori 18,MediaWorld Pisa,Conad Metato,9.27,Pizzeria Pisanova,9.43,Ristorante Tuscany 2,0.83,Stazione Leopolda,2.58,,,1.75
1732,Stazione Leopolda,Hotel Galilei Pisa,Ipercoop Pisa,2.34,Pizzeria Colignola,2.06,,,,,,,5.8
1733,MediaWorld Pisa,Ristorante Tuscany 2,McDonald's Barbaricina,7.41,Ristorante Da Stefano (Tirrenia),17.52,Stazione Leopolda,18.21,McDonald's Pisa Aurelia,2.14,Universita di Pisa,4.06,2.03
1734,Conad Pian di Marco,Centro Commerciale Pisanova,Piscina Comunale Camalich,3.21,Stazione San Rossore,4.33,Via Aretino Spinello 11,1.4,Esselunga Cisanello,2.75,Via Angelo Battelli 5,2.64,2.11
1735,Centro Commerciale Pisanova,Eurospin Ospedaletto,Ristorante Galileo,0.37,Centro Commerciale Darsena (Tirrenia),22.92,,,,,,,14.86
1736,Supermercato Coop San Giusto,McDonald's Pisa Aurelia,Lidl Pisa,1.32,Ristorante Da Stefano (Tirrenia),16.47,Ristorante La Greppia,17.67,,,,,1.22
1737,Conad Metato,Via Gabriele Vettori 18,Lidl Pisa,10.08,Ipercoop Pisa,3.42,Ristorante Il Rustichello - San Piero,6.52,,,,,6.15
1738,Lidl Pisa,Stazione Leopolda,Hotel Continental Tirrenia,17.5,Conad La Vettola,13.77,Parcheggio di Cisanello,8.58,MediaWorld Pisa,1.33,Stazione Pisa Centrale,1.89,0.57
1739,Stazione San Rossore,Conad Pian di Marco,Via Montanelli 66,2.24,,,,,,,,,3.1
1740,Supermercato Coop San Giusto,Ristorante Pizzeria Il Pellicano,Parco San Rossore,0.97,Centro Commerciale Darsena (Tirrenia),17.14,Parcheggio Migliarino,28.82,,,,,15.39
1741,Via San Ranieri 9,Hotel San Ranieri,Via Aretino Spinello 11,2.29,Centro Commerciale Pisanova,2.14,Ristorante La Greppia,2.25,Ristorante Il Mio Capriccio,1.39,Ipercoop Pisa,0.73,2.01
1742,Supermercato Coop San Giusto,Ipercoop Pisa,Via Gabriele Vettori 18,2.36,Ristorante Da Stefano (Tirrenia),21.33,Universita di Pisa,21.13,Eurospin Ospedaletto,8.03,McDonald's Pisa Aurelia,3.37,3.18
1743,Supermercato Coop San Giusto,Stazione Pisa Centrale,Piscina Comunale Camalich,3.83,,,,,,,,,4.25
1744,Via Montanelli 66,Supermercato Coop San Giusto,Ristorante Il Rustichello - San Piero,5.67,,,,,,,,,4.05
1745,MediaWorld Pisa,Supermercato Coop San Giusto,,,,,,,,,,,2.82
1746,Pizzeria Colignola,Piscina Comunale Camalich,,,,,,,,,,,7.62
